image_path,label,embedding
face_dataset\Training_dataset\child1\child1 (10).jpeg,child1,"[-0.3882203698158264, -0.6227564811706543, -1.0496463775634766, -0.154151052236557, 0.45187219977378845, 0.4265761971473694, -0.4504474699497223, -0.12205149233341217, 0.10332148522138596, -0.051208559423685074, -0.6173321604728699, -0.4453463554382324, -0.24008771777153015, -0.44957152009010315, 0.42401954531669617, -0.544402003288269, 0.46944233775138855, -0.16713185608386993, 0.24452799558639526, -1.1205825805664062, 0.3270336985588074, -0.501264214515686, -0.06275295466184616, 0.22337931394577026, 0.48754754662513733, -0.08469391614198685, 0.9138960838317871, -0.32544517517089844, -0.30409860610961914, 0.5535215735435486, -0.025491178035736084, 0.575507640838623, 0.42192333936691284, 0.5913689732551575, 0.9841503500938416, -0.36551591753959656, 0.9554367065429688, -0.5559834241867065, 0.8803013563156128, -0.8263901472091675, 0.37735143303871155, 1.2754651308059692, 0.0980444997549057, 0.02774187922477722, 0.4006388485431671, 0.1319289654493332, 0.6634169220924377, -0.7277066707611084, 0.4681655764579773, -0.042882487177848816, -0.8348661661148071, 0.2794996500015259, 0.8098896145820618, -0.9761552214622498, 0.5123432874679565, 0.49491193890571594, 0.8349237442016602, -0.22396041452884674, 0.7668593525886536, -0.8342866897583008, 0.44184741377830505, 0.5509938597679138, -0.192866250872612, 0.7366631031036377, -0.21114057302474976, 1.1639949083328247, 0.18367627263069153, 0.3063248097896576, 0.12665128707885742, -0.5925379991531372, 0.8589611053466797, -0.379166841506958, -0.8499877452850342, -1.07120680809021, 0.3081687092781067, -0.006020992994308472, -0.2608266770839691, 0.1910647600889206, -0.04083486646413803, -0.657249927520752, -0.38435569405555725, 0.24461810290813446, 0.08720970153808594, 0.6622103452682495, 0.5272625684738159, 0.2923721671104431, 0.42972326278686523, 0.16334028542041779, -1.2446924448013306, 0.046228475868701935, -0.3399231433868408, 0.7637245655059814, -1.3424527645111084, 0.5943201184272766, 0.4320276081562042, 0.5536040663719177, -0.2597672641277313, -1.1764713525772095, -1.2675821781158447, 1.1595778465270996, -0.3626386523246765, 0.04544603079557419, -0.4424683451652527, -0.6860554814338684, -0.3263988196849823, 0.23511211574077606, -1.0020307302474976, -0.47381922602653503, -0.508298397064209, 0.14403694868087769, -0.5495110154151917, -0.5116578340530396, 0.05348442494869232, 0.2712661921977997, -0.6582123637199402, 0.5236238241195679, -0.9401117563247681, -0.032381802797317505, 0.2625519931316376, 0.42782071232795715, 0.29922282695770264, -0.4384550154209137, 0.9588820338249207, -0.257874459028244, 0.5239886045455933, -1.0831212997436523, 1.6456083059310913, -0.7025904655456543]"
face_dataset\Training_dataset\child1\child1 (11).jpeg,child1,"[-0.4426541030406952, -0.6983342170715332, 0.10946471244096756, -0.3294472396373749, 0.1465139091014862, 0.4470244348049164, 0.00028333812952041626, -0.37003788352012634, -0.5407450199127197, 0.09378717839717865, 0.37082627415657043, 0.009764276444911957, 0.392470121383667, -0.061156127601861954, 0.16909897327423096, -0.07381273806095123, 1.0231810808181763, -1.355797290802002, 0.2837072014808655, 0.10100345313549042, 0.31791573762893677, -0.45838677883148193, -0.9138237237930298, -0.1939484179019928, 0.29045411944389343, -0.13285422325134277, 0.7491430044174194, 0.14670540392398834, 0.05372832715511322, 0.45827794075012207, 0.39774227142333984, -0.10816897451877594, 0.08010457456111908, 0.10478682070970535, 0.9326937198638916, -0.21871449053287506, 0.7666794657707214, -0.06455104798078537, 0.4865460693836212, 0.476734459400177, 0.9624333381652832, 1.0090187788009644, -0.15241554379463196, 0.37868019938468933, -1.0435006618499756, -0.6858320236206055, 0.575799822807312, 0.15794727206230164, 0.3846381902694702, 0.05353936553001404, -1.0402050018310547, 0.47452500462532043, 0.8164101839065552, -0.5201900005340576, 0.11968395113945007, 0.08368148654699326, 1.3754236698150635, 0.6790595054626465, 0.03765245899558067, -0.852276623249054, -0.1480989158153534, -0.021122124046087265, -0.14718946814537048, 1.2456445693969727, -0.486606627702713, 0.730946958065033, 0.20922085642814636, 0.24473810195922852, 0.500186562538147, -0.3221169412136078, 0.1719285100698471, -0.42634207010269165, -0.12245573103427887, -0.3767584562301636, -0.6422755122184753, 0.35103273391723633, 0.6444845199584961, 0.29200732707977295, 0.02447608858346939, -0.19947274029254913, -0.9174217581748962, -0.6374995708465576, 0.6019378900527954, 0.05238129198551178, 0.7983392477035522, 0.043128058314323425, 1.111922264099121, 0.2855222225189209, -1.1023452281951904, 0.9537848234176636, -0.4158520996570587, 0.07457789033651352, -0.24654144048690796, 0.036351654678583145, 1.0068563222885132, 0.4084036946296692, 0.6009783744812012, -0.541477382183075, -0.6166662573814392, 0.44733062386512756, -0.020089076831936836, 0.8333509564399719, -0.21540945768356323, 0.39743927121162415, 0.3332233130931854, 0.49937862157821655, 0.3462602496147156, -0.42428058385849, 0.084368497133255, -0.9481205940246582, 0.1267089992761612, -0.2761915922164917, 0.9812270402908325, 0.2033204734325409, -0.6883960366249084, -0.0927981287240982, -0.12267959862947464, 0.9546777606010437, 1.4269191026687622, -0.2772161662578583, 0.3424321413040161, -0.06415460258722305, 0.10290706157684326, -0.5132936239242554, 0.7314780354499817, -0.4388475716114044, 0.6146270632743835, 0.5064005851745605]"
face_dataset\Training_dataset\child1\child1 (12).jpeg,child1,"[-0.42696431279182434, -0.506775975227356, -0.24259492754936218, -0.31811434030532837, 0.649271547794342, 0.34258902072906494, -0.04464833438396454, 0.2400205284357071, -0.03731940686702728, -0.019419685006141663, 1.3466259241104126, -0.019638150930404663, 0.704731822013855, -0.7519909143447876, -0.15637537837028503, 0.3424997925758362, 0.6820981502532959, -0.5289315581321716, 0.11233449727296829, 0.30253687500953674, -0.11256034672260284, 0.03191625326871872, -0.7768117785453796, -0.031851038336753845, -0.3760085105895996, -0.36665788292884827, 0.16471675038337708, 0.30320245027542114, -0.6118754744529724, -0.24215610325336456, -0.08406123518943787, 0.2004079818725586, -0.01604904979467392, -0.20108431577682495, 0.26653817296028137, 0.5043172240257263, 0.5628255605697632, 0.1286582350730896, 0.0768997073173523, 0.3064548075199127, 0.8487402200698853, 0.5328189134597778, 0.34864845871925354, -0.0207500159740448, -0.7692767381668091, -1.3404182195663452, 0.3897189199924469, 0.06810407340526581, 1.221269130706787, 0.34348607063293457, -0.416756808757782, -0.07268689572811127, 0.21687674522399902, -0.20828911662101746, -0.2525721490383148, -0.12245531380176544, -0.3684609532356262, -0.01866253651678562, -0.2827509045600891, -0.19155353307724, -0.5045193433761597, -0.27010905742645264, 0.07237313687801361, 0.6343159675598145, 0.20276758074760437, 0.38897401094436646, 0.014855675399303436, 0.42814573645591736, 0.5643765330314636, 0.1302831768989563, 0.04921966791152954, -0.1938927173614502, -0.032850392162799835, 0.1363350749015808, 0.03826264664530754, -0.15535053610801697, 0.22983747720718384, 0.4342474639415741, -0.19096003472805023, 0.3712341785430908, -0.6762906312942505, -0.6374343633651733, -0.08879412710666656, 0.010350605472922325, 0.25915125012397766, 0.620689332485199, 0.5353521704673767, -0.15201663970947266, -0.6343271732330322, 0.8410782217979431, 0.3894597291946411, 0.3328627347946167, -0.1327490508556366, -0.02589309960603714, 0.3728783428668976, 0.40849196910858154, -0.26404812932014465, -0.35758736729621887, -0.7190194129943848, 0.4093480706214905, 0.06744483858346939, 0.39256972074508667, 0.04083312302827835, -0.4270533621311188, -0.03637201711535454, 0.19093164801597595, 0.4696477949619293, -0.9132161140441895, -0.4184364080429077, -0.4764355719089508, 0.5558623671531677, 0.1479218304157257, 0.552162766456604, 0.5166473984718323, -0.07785043120384216, -0.22275850176811218, -0.15302173793315887, 0.12119601666927338, 0.5134169459342957, 0.5400627851486206, -0.7129144668579102, -0.61719810962677, 0.36617642641067505, 0.1259637326002121, -0.18446549773216248, -0.11392135173082352, 0.5893595218658447, 0.637434720993042]"
face_dataset\Training_dataset\child1\child1 (13).jpeg,child1,"[-0.16439156234264374, -0.403790146112442, -0.31107908487319946, -0.5627503395080566, 0.5014390349388123, 0.05694166570901871, -0.025935105979442596, -0.03078853338956833, 0.06285522133111954, 0.27128857374191284, 0.3420981168746948, -0.2140442281961441, 0.04495532810688019, -0.6034301519393921, 0.08852323144674301, 0.15785053372383118, 0.10347318649291992, -0.19377702474594116, 0.3063822388648987, -0.531833827495575, 0.08962754905223846, 0.16809947788715363, -0.2628526985645294, 0.25301897525787354, 0.2453429102897644, -0.20093506574630737, 0.5839583873748779, 0.1671999990940094, -0.2738208770751953, -0.3468889594078064, -0.23297876119613647, 0.3173230290412903, 0.05699360370635986, -0.13933613896369934, 0.5276950001716614, -0.11397948861122131, 0.00189116969704628, -0.12896206974983215, 0.5228592157363892, -0.15055537223815918, 0.2637472450733185, 0.015603255480527878, 0.0032347887754440308, -0.13404664397239685, -0.1867404282093048, -0.7066213488578796, 0.09269538521766663, -0.13859274983406067, 0.3444547653198242, 0.08664892613887787, -0.6663928627967834, 0.47541987895965576, 0.0974612757563591, -0.3044847548007965, -0.025969266891479492, 0.15999042987823486, 0.4644303619861603, 0.10266400873661041, -0.2850128710269928, -0.9226798415184021, -0.09298774600028992, -0.2807028293609619, -0.24440830945968628, 0.6891956925392151, 0.1723252236843109, 0.6105714440345764, 0.360567182302475, 0.059136636555194855, -0.0803927630186081, -0.3845696449279785, -0.11912006139755249, -0.5343321561813354, 0.21216759085655212, -0.4382263422012329, 0.12053832411766052, -0.42579296231269836, -0.015213191509246826, 0.43201783299446106, -0.3540588319301605, -0.17771831154823303, -0.4958958923816681, -0.052273206412792206, 0.01583024114370346, 0.24567466974258423, 0.3537153899669647, 0.2911125421524048, 0.35775724053382874, -0.20432732999324799, -0.5067026615142822, 0.6292372941970825, 0.3500085175037384, 0.2583150267601013, -0.22813107073307037, -0.07441947609186172, 0.6811416149139404, 0.18546955287456512, -0.2909161150455475, -0.5237430930137634, -0.7536136507987976, 0.13881158828735352, -0.465964674949646, 0.4420710802078247, 0.23039212822914124, -0.4126863479614258, 0.13963347673416138, 0.12089307606220245, 0.07494622468948364, 0.0705813616514206, 0.04382003843784332, -0.35818856954574585, 0.03619356453418732, 0.09276760369539261, 0.46804261207580566, 0.5052339434623718, -0.04441118240356445, 0.2576594650745392, 0.02151651307940483, 0.49091121554374695, 0.4235146641731262, 0.3087707757949829, -0.42603302001953125, 0.03833942115306854, 0.39211755990982056, 0.2651970684528351, 0.5660514235496521, -0.5945136547088623, 0.4385668933391571, 0.07048514485359192]"
face_dataset\Training_dataset\child1\child1 (2).jpeg,child1,"[-0.6051678657531738, -0.6793309450149536, -1.5194772481918335, 0.07695742696523666, 1.1488696336746216, -0.2146276831626892, -0.19252905249595642, -0.8337227702140808, 0.20869874954223633, 0.5945149064064026, 1.1371681690216064, -0.1918267011642456, -0.19924969971179962, -2.3476593494415283, 0.9198393821716309, 0.7730637192726135, 1.1878129243850708, -0.24756088852882385, -0.46615612506866455, -0.3399256765842438, 0.5233079195022583, -0.46879592537879944, -1.1364562511444092, 0.20093905925750732, -0.478617787361145, -0.694703221321106, -0.027091195806860924, -0.09576578438282013, -0.24350552260875702, 1.0836286544799805, 1.7025612592697144, -0.9007057547569275, 0.8845455050468445, -0.7018948793411255, 1.6284310817718506, -0.5696861147880554, 1.0244231224060059, 0.16372564435005188, 0.7868990302085876, 0.38212326169013977, 0.12880092859268188, 1.2799615859985352, 0.148136168718338, 0.07571247220039368, -1.29189932346344, -1.0044834613800049, 0.4429204761981964, 0.02938915602862835, 0.7100751399993896, 0.13762694597244263, -0.3076467514038086, -0.5958516597747803, 0.5552674531936646, -0.425619512796402, 0.6949544548988342, 0.574521541595459, 1.2631990909576416, 0.0999959409236908, -0.09513512998819351, -0.888429582118988, -0.037728164345026016, -0.1491643786430359, -0.4026219844818115, 1.1776587963104248, 0.6035097241401672, 1.1162935495376587, 0.17662081122398376, 1.1252802610397339, 0.16649073362350464, -0.42770352959632874, 0.4677967131137848, -0.5797746181488037, -0.824507474899292, -1.1250685453414917, 0.0932006984949112, 0.9642512798309326, 0.43188437819480896, 0.9208700060844421, -1.3186290264129639, -0.3928861618041992, -1.7371830940246582, -0.4186256229877472, -0.02923549711704254, 0.23845329880714417, 0.5606394410133362, -0.5881192684173584, -0.24341914057731628, 0.3317995071411133, -1.80985426902771, 0.6363054513931274, 0.3367137610912323, -0.25799036026000977, -0.4887942373752594, 0.751538872718811, -0.1507386714220047, -0.5622373223304749, -0.2372959405183792, -0.24426639080047607, -0.9160521626472473, 0.14183223247528076, -0.009319882839918137, 0.4487254023551941, -0.04455512762069702, -0.36836349964141846, 0.605415940284729, 0.13615311682224274, 0.06630852818489075, -0.9669052362442017, -0.001888372004032135, -0.11807481944561005, 0.012817740440368652, 0.384387731552124, 0.5374504327774048, -0.11249774694442749, -0.9153262376785278, -0.048374272882938385, -0.16350536048412323, 0.13401497900485992, 0.5816202163696289, 1.1345329284667969, 0.6337197422981262, -0.7600833177566528, 0.9728283882141113, -0.701897144317627, 0.5385499596595764, -1.5873587131500244, -0.24127152562141418, 0.03008883073925972]"
face_dataset\Training_dataset\child1\child1 (4).jpeg,child1,"[-0.43010035157203674, -0.9628064632415771, -0.03831923007965088, -0.41212940216064453, 0.597619354724884, 0.844430148601532, -0.16947294771671295, 0.025081859901547432, 0.040440984070301056, -0.2602621614933014, 0.23552539944648743, -0.5887928605079651, 0.2737410068511963, 0.051174283027648926, 0.004854872822761536, 0.059090420603752136, 1.0256474018096924, -0.24891510605812073, 0.6767225861549377, 0.13674995303153992, 0.4334661662578583, 0.15477290749549866, -0.5889617800712585, -0.4882906377315521, 0.6665778160095215, -0.001413583755493164, 0.21003423631191254, 0.22052325308322906, -0.14269386231899261, 0.26410815119743347, -0.03801055997610092, -0.14118194580078125, 0.15316157042980194, -0.22499793767929077, 1.1155383586883545, -0.383995920419693, 1.2241512537002563, 0.5822671055793762, 0.1753876805305481, -0.10730651021003723, 0.7025047540664673, 0.8769891858100891, 0.04958740994334221, -0.07329821586608887, -1.405631184577942, -1.0062506198883057, 0.018440261483192444, -0.22079268097877502, 0.8290649056434631, 0.48233962059020996, -0.6241281628608704, 0.43756845593452454, 0.9801055788993835, -1.0303773880004883, 0.7746255397796631, -0.3075973391532898, 1.2130515575408936, 0.36821630597114563, 0.20020492374897003, -0.6361523866653442, 0.30625802278518677, 0.4888800382614136, 0.20630192756652832, 1.7797822952270508, -0.5853611826896667, 1.1109267473220825, 0.40189096331596375, 0.4708443880081177, 0.7490060329437256, 0.1686892807483673, 0.4054241478443146, -0.5845603942871094, -0.34353986382484436, -0.6652027368545532, -0.44647789001464844, 0.5934026837348938, 0.1116417944431305, 0.15664826333522797, 0.08787747472524643, 0.1268887221813202, -0.9352303743362427, -0.01728566735982895, 0.4624752700328827, 0.5123197436332703, 0.7154382467269897, 0.3693786859512329, 0.8575363755226135, 0.20462127029895782, -1.1236540079116821, 0.5858488082885742, 0.2403973788022995, 0.25050508975982666, -0.8372312188148499, 0.39804959297180176, 0.29610908031463623, 0.16488976776599884, 0.14964477717876434, -0.6183483004570007, -0.7739328742027283, 0.31040653586387634, 0.19034375250339508, 0.7040130496025085, -0.3638930320739746, -0.12602049112319946, 0.16343173384666443, 0.21626687049865723, 0.11080044507980347, -1.0035988092422485, 0.1368802785873413, -0.5112960338592529, -0.16396069526672363, -0.4555630087852478, 0.8217277526855469, 0.7486969828605652, -0.7929690480232239, -0.7750500440597534, -0.17470595240592957, 0.544187068939209, 1.0009633302688599, 0.1878882348537445, 0.41180771589279175, 0.3031235933303833, 0.10388848930597305, -0.6621965169906616, 0.46195679903030396, -0.39926397800445557, 1.1063929796218872, -0.03922649472951889]"
face_dataset\Training_dataset\child1\child1 (5).jpeg,child1,"[-0.04320035129785538, -1.116918683052063, 0.26963675022125244, -0.6964063048362732, 0.6082716584205627, 0.049462176859378815, -0.18251314759254456, -0.6239298582077026, -0.2661164700984955, -0.05334658920764923, 0.16459405422210693, -0.9413616061210632, -0.08385966718196869, -1.131616234779358, 0.2520548701286316, 0.4777976870536804, 2.196019411087036, -0.4578065872192383, 0.2331753969192505, 0.041327133774757385, 0.5245503187179565, -0.025680214166641235, -0.960654079914093, 0.1763959378004074, -0.15613918006420135, -0.12790235877037048, 0.2819245755672455, 0.5113397240638733, 0.0011341124773025513, 0.5613610148429871, 0.3690034747123718, -0.4786536693572998, -0.18402184545993805, -0.5874203443527222, 2.1272566318511963, -0.3295285105705261, 0.27958807349205017, 0.47679710388183594, 0.45404982566833496, 1.0719494819641113, -0.08629553020000458, 0.29782333970069885, 0.46183767914772034, 0.20965421199798584, -1.2187162637710571, -1.3559547662734985, 0.48240211606025696, 0.2894033193588257, 0.013681299984455109, -0.13642553985118866, -0.44819265604019165, 0.4589254856109619, 0.6805124878883362, -0.852412760257721, 0.9304513335227966, 0.06753746420145035, 0.9705526828765869, 0.3628256618976593, -0.19162465631961823, -0.7902657389640808, 0.04854021966457367, -0.3972010016441345, 0.2674251198768616, 2.0559616088867188, -0.6621209979057312, 1.6833263635635376, 0.5547511577606201, 1.1950647830963135, 0.9149636030197144, -0.18561944365501404, -0.1447075754404068, -1.0359835624694824, 0.37558212876319885, -1.4159215688705444, -0.46714550256729126, 1.3938119411468506, -0.053516704589128494, 0.13851608335971832, -0.6721789836883545, -1.0904972553253174, -1.0076971054077148, 0.007047465071082115, -0.3126068413257599, 0.8930107355117798, 1.1042039394378662, -1.0008745193481445, 0.794583261013031, -1.1115504503250122, -1.6106915473937988, 0.9530113935470581, 0.3338296711444855, 0.06304794549942017, -0.5014033913612366, 0.03716910257935524, -0.09997087717056274, -0.13550104200839996, 0.2575758099555969, -0.35654306411743164, -0.7668883204460144, 0.38878896832466125, 0.33510488271713257, 1.3499888181686401, -0.005273878574371338, 0.24771811068058014, 0.2245907485485077, 0.025272440165281296, -0.28806576132774353, -0.7545357942581177, -0.2743901014328003, -1.2396609783172607, 0.22675107419490814, 0.2755705416202545, 1.4567246437072754, 0.31914591789245605, -1.0442776679992676, -0.44415414333343506, -0.30333754420280457, 1.1101031303405762, 0.8756245374679565, 0.4223717749118805, 0.7607987523078918, 0.09938132017850876, 0.18193763494491577, -0.9774631857872009, 0.6463238000869751, -0.8006505966186523, 0.4223768711090088, -0.4196232557296753]"
face_dataset\Training_dataset\child1\child1 (6).jpeg,child1,"[-0.5592319965362549, -0.3051987886428833, -0.5852245092391968, -0.3721388578414917, 0.0398259274661541, -0.35156527161598206, -0.030910030007362366, -0.1481117308139801, 0.04261532425880432, -0.015135323628783226, 0.12127203494310379, 0.036582499742507935, -0.13793018460273743, -0.7106403112411499, -0.11338634788990021, 0.010829605162143707, 0.2957894802093506, -0.2988285422325134, 0.5250080823898315, -1.0639084577560425, 0.018143996596336365, -0.32173261046409607, -0.18059223890304565, -0.07369335740804672, 0.0793866515159607, -0.21432852745056152, 0.788286566734314, 0.024630747735500336, -0.37686049938201904, -0.10245400667190552, -0.7159879207611084, -0.0124136321246624, 0.025232236832380295, 0.1144505962729454, 0.6866739988327026, -0.10479332506656647, 0.9693490266799927, -0.10228952020406723, 0.7953377962112427, -0.6037527322769165, 0.39923006296157837, 0.6221327185630798, -0.03407055139541626, 0.054726794362068176, -0.1337495893239975, -0.4353701174259186, 0.11508822441101074, -0.4291788339614868, 0.5103605389595032, 0.26677054166793823, -0.6697990894317627, 0.31142687797546387, 0.5642421841621399, -0.5319473147392273, -0.261788010597229, 0.7634981274604797, 0.45118317008018494, 0.1876148283481598, 0.19732221961021423, -0.8987361192703247, -0.43865737318992615, 0.1905476301908493, -0.5118101239204407, 0.5055636763572693, 0.05661425366997719, 1.0853389501571655, 0.19103553891181946, 0.039432916790246964, -0.30909356474876404, -0.38132455945014954, 0.5822931528091431, -0.337812602519989, 0.10023508965969086, -0.8954373598098755, 0.18624357879161835, -0.27083685994148254, -0.06056081876158714, 0.6404819488525391, -0.23838719725608826, -0.9414206743240356, -0.5320311784744263, -0.1269807666540146, -0.08917362987995148, -0.10956359654664993, 0.3170899450778961, 0.30351880192756653, 0.22102735936641693, 0.2865121364593506, -0.7919403314590454, 0.8822014927864075, 0.23594090342521667, 0.41271325945854187, -0.3007770776748657, 0.04829636216163635, 0.17418983578681946, 0.3745838403701782, 0.016144555062055588, -0.8834964036941528, -0.7099524140357971, 0.7241979837417603, -0.22554822266101837, 0.5581528544425964, 0.7480833530426025, -0.8130167126655579, 0.1615886092185974, 0.33403921127319336, 0.021873746067285538, -0.04455580562353134, -0.43288716673851013, -0.07645226269960403, 0.18282094597816467, 0.048636481165885925, 0.41989096999168396, 0.552336573600769, -0.1957065612077713, 0.2605091631412506, -0.20855319499969482, 0.6945693492889404, 0.5052598714828491, 0.35809531807899475, -0.340476393699646, -0.6390140056610107, 0.6663770079612732, 0.39885616302490234, 0.5061843395233154, -0.5652846693992615, 1.1072947978973389, -0.1526971310377121]"
face_dataset\Training_dataset\child1\child1 (7).jpeg,child1,"[-1.1768224239349365, -0.5358030796051025, -0.5746153593063354, 0.29287177324295044, 0.04255807399749756, 0.6897571682929993, -0.11979179084300995, -0.03231039643287659, 0.6600183844566345, -0.6650217771530151, -0.15012919902801514, -0.09026271849870682, 0.4318940043449402, -0.0017590522766113281, -0.11943286657333374, -0.03867487981915474, 1.2620073556900024, -0.8980445265769958, 0.112673819065094, -0.18277233839035034, 0.3770255148410797, -0.5807312726974487, -0.20719724893569946, -0.40692177414894104, 0.20113150775432587, 0.5254569053649902, 1.0650529861450195, 0.025322362780570984, -0.873151957988739, -0.1580992490053177, 0.14379611611366272, -0.30543410778045654, 0.253312349319458, 1.1062626838684082, 1.1016044616699219, 0.1885482668876648, 0.5230987668037415, -0.40452292561531067, 0.5437735319137573, -0.17147690057754517, 0.32575520873069763, 1.3912752866744995, -0.5062993764877319, -0.3502723276615143, -0.418740838766098, -0.5442625284194946, 0.581914484500885, 0.09007148444652557, 0.6420876383781433, -0.048713624477386475, -0.7749099135398865, 0.37714436650276184, 0.36867913603782654, -0.4527243673801422, 0.8097177147865295, 0.43456873297691345, 1.7185275554656982, 0.33275842666625977, 0.23090752959251404, -0.7727575302124023, 0.23306044936180115, 0.7874476313591003, -0.06123865768313408, 1.6024065017700195, 0.35867050290107727, 0.7137196660041809, 0.09043172746896744, 0.2625355124473572, -0.10430966317653656, 0.41220709681510925, 1.148199439048767, 0.18824449181556702, -0.253786563873291, -0.16825971007347107, -0.012591447681188583, 0.20968665182590485, 0.329767107963562, 0.23228582739830017, 0.25090456008911133, -0.5112719535827637, -1.216726303100586, -0.31595098972320557, 1.075068473815918, 0.02722114883363247, 0.6480882167816162, 0.38437536358833313, 1.2650151252746582, -0.04059359058737755, -1.4403345584869385, 0.2776651382446289, -0.4359842836856842, 0.17113566398620605, -0.8236300349235535, 0.22962871193885803, 0.6128639578819275, 0.6523017883300781, -0.06399671733379364, 0.22230768203735352, -0.8745660781860352, 0.9768378734588623, 0.3488922715187073, 0.584446907043457, -0.9024916887283325, 0.6524779796600342, 0.655912458896637, 0.7205276489257812, -0.5331217050552368, -0.3794025480747223, -0.4564293324947357, -0.9107432961463928, -0.11916960775852203, -0.40949875116348267, 0.5716843605041504, 0.778114378452301, -0.9303313493728638, 0.545559287071228, -0.43942466378211975, 0.40508994460105896, 1.1967309713363647, -0.33801010251045227, 0.877487063407898, -0.16566739976406097, 0.20702768862247467, -0.7735276222229004, 0.5607859492301941, -1.0008409023284912, 1.349879264831543, -0.2825659215450287]"
face_dataset\Training_dataset\child1\child1 (8).jpeg,child1,"[-1.1768224239349365, -0.5358030796051025, -0.5746153593063354, 0.29287177324295044, 0.04255807399749756, 0.6897571682929993, -0.11979179084300995, -0.03231039643287659, 0.6600183844566345, -0.6650217771530151, -0.15012919902801514, -0.09026271849870682, 0.4318940043449402, -0.0017590522766113281, -0.11943286657333374, -0.03867487981915474, 1.2620073556900024, -0.8980445265769958, 0.112673819065094, -0.18277233839035034, 0.3770255148410797, -0.5807312726974487, -0.20719724893569946, -0.40692177414894104, 0.20113150775432587, 0.5254569053649902, 1.0650529861450195, 0.025322362780570984, -0.873151957988739, -0.1580992490053177, 0.14379611611366272, -0.30543410778045654, 0.253312349319458, 1.1062626838684082, 1.1016044616699219, 0.1885482668876648, 0.5230987668037415, -0.40452292561531067, 0.5437735319137573, -0.17147690057754517, 0.32575520873069763, 1.3912752866744995, -0.5062993764877319, -0.3502723276615143, -0.418740838766098, -0.5442625284194946, 0.581914484500885, 0.09007148444652557, 0.6420876383781433, -0.048713624477386475, -0.7749099135398865, 0.37714436650276184, 0.36867913603782654, -0.4527243673801422, 0.8097177147865295, 0.43456873297691345, 1.7185275554656982, 0.33275842666625977, 0.23090752959251404, -0.7727575302124023, 0.23306044936180115, 0.7874476313591003, -0.06123865768313408, 1.6024065017700195, 0.35867050290107727, 0.7137196660041809, 0.09043172746896744, 0.2625355124473572, -0.10430966317653656, 0.41220709681510925, 1.148199439048767, 0.18824449181556702, -0.253786563873291, -0.16825971007347107, -0.012591447681188583, 0.20968665182590485, 0.329767107963562, 0.23228582739830017, 0.25090456008911133, -0.5112719535827637, -1.216726303100586, -0.31595098972320557, 1.075068473815918, 0.02722114883363247, 0.6480882167816162, 0.38437536358833313, 1.2650151252746582, -0.04059359058737755, -1.4403345584869385, 0.2776651382446289, -0.4359842836856842, 0.17113566398620605, -0.8236300349235535, 0.22962871193885803, 0.6128639578819275, 0.6523017883300781, -0.06399671733379364, 0.22230768203735352, -0.8745660781860352, 0.9768378734588623, 0.3488922715187073, 0.584446907043457, -0.9024916887283325, 0.6524779796600342, 0.655912458896637, 0.7205276489257812, -0.5331217050552368, -0.3794025480747223, -0.4564293324947357, -0.9107432961463928, -0.11916960775852203, -0.40949875116348267, 0.5716843605041504, 0.778114378452301, -0.9303313493728638, 0.545559287071228, -0.43942466378211975, 0.40508994460105896, 1.1967309713363647, -0.33801010251045227, 0.877487063407898, -0.16566739976406097, 0.20702768862247467, -0.7735276222229004, 0.5607859492301941, -1.0008409023284912, 1.349879264831543, -0.2825659215450287]"
